English,Chinese
"We're just seeing this strange thing and we know we love David Sedaris, and so we're hoping that we're in for a good time. ",你唔知，因為你都冇聽明 
"[""'Fraud' Essays by David Rakoff""] David Rakoff was a wonderful writer and he called his first book ""Fraud"" because he was getting sent on assignments by magazines to do things that he was not equipped to do. ",把聲都唔清晰 
So he was this skinny little urban guy and GQ magazine would send him down the Colorado River whitewater rafting to see if he would survive. ,但起碼，你已經 畀呢種神秘深深咁吸引咗 
"And then he would write about it, and he felt that he was a fraud and that he was misrepresenting himself. ",清晰定係神秘？ 
And so I wanted the cover of this book to also misrepresent itself and then somehow show a reader reacting to it. ,我係做平面設計嘅 日日都要兼顧呢兩樣嘢 喺紐約生活就係要咁 每日都係 其中有兩種元素令我着迷 
This led me to graffiti. ,舉個例 
I'm fascinated by graffiti. ,有幾多人知道呢個係咩？ 
"I think anybody who lives in an urban environment encounters graffiti all the time, and there's all different sorts of it. ",宜家，又有幾多人？ 
This is a picture I took on the Lower East Side of just a transformer box on the sidewalk and it's been tagged like crazy. ,多謝 Charles M. Schulz 加咗 絕妙嘅兩筆 七條線就足夠展現成個感情生活 一張喺過去五十年裡邊 獲得億萬粉絲嘅面孔 
"Now whether you look at this and think, ""Oh, that's a charming urban affectation,"" or you look at it and say, ""That's illegal abuse of property,"" the one thing I think we can all agree on is that you cannot read it. ",其實，呢個係我設計嘅一本書嘅封面 介紹舒茲同佢嘅作品嘅 今年秋季出街 呢個就係成個封面 
Right? There is no clear message here. ,上邊冇其他文字或者視覺訊息 書名係《簡明至上》 
"There is another kind of graffiti that I find far more interesting, which I call editorial graffiti. ",呢個笑臉代表 我認知嘅設計 同埋我個人嘅設計 
"This is a picture I took recently in the subway, and sometimes you see lots of prurient, stupid stuff, but I thought this was interesting, and this is a poster that is saying rah-rah Airbnb, and someone has taken a Magic Marker and has editorialized about what they think about it. ",清清楚楚就係要點 
And it got my attention. ,就好似我畫出嚟咁 雖然粗爌，但感覺真 
"So I was thinking, how do we apply this to this book? ",我哋問自己：「幾時要清楚？」 呢本（飛機乘客手冊）就要—— 我哋讀唔讀都好 需要好清楚 
"So I get the book by this person, and I start reading it, and I'm thinking, this guy is not who he says he is; he's a fraud. ",噉佢清唔清楚？ 
"And I get out a red Magic Marker, and out of frustration just scribble this across the front. ",呢個係近期一個我好鍾意嘅 城市裡邊、增加咗訊息明確性嘅例子 主要係因為，我成日遲到，成日好趕 
"Design done. (Laughter) And they went for it! (Laughter) Author liked it, publisher liked it, and that is how the book went out into the world, and it was really fun to see people reading this on the subway and walking around with it and what have you, and they all sort of looked like they were crazy. ",所以，幾年前 啲十字路口安裝咗計時器嗰時 我好激動，因為我終於可以知道 我仲有幾多秒過馬路 仲唔會被車撞親 
"(Laughter) [""'Perfidia' a novel by James Ellroy""] Okay, James Ellroy, amazing crime writer, a good friend, I've worked with him for many years. ",六秒？我得（笑聲） 宜家，我哋嚟睇下同清晰相對嘅嘢 即係神秘 
"He is probably best known as the author of ""The Black Dahlia"" and ""L.A. Confidential."" ",神秘嘅定義好複雜 
"His most recent novel was called this, which is a very mysterious name that I'm sure a lot of people know what it means, but a lot of people don't. ",有神秘，就需要解開神秘 如果神秘表達得當 我哋真係會好想好想去解開佢 
And it's a story about a Japanese-American detective in Los Angeles in 1941 investigating a murder. ,「幾時應該神秘？」 喺第二次世界大戰時 德國人好想好想破解呢個密碼 但佢哋失敗咗 
"And then Pearl Harbor happens, and as if his life wasn't difficult enough, now the race relations have really ratcheted up, and then the Japanese-American internment camps are quickly created, and there's lots of tension and horrible stuff as he's still trying to solve this murder. ",呢個係我最近 為村上春樹嘅小說做嘅設計 我幫佢做封面已經做咗廿幾年 呢本小說係講一個叫多崎造嘅後生仔 佢有四個老友 佢哋大學一年級之後突然全部同佢絕交 咩解釋都冇 多崎造大受打擊 
"And so I did at first think very literally about this in terms of all right, we'll take Pearl Harbor and we'll add it to Los Angeles and we'll make this apocalyptic dawn on the horizon of the city. ",每一個老友嘅日文名 都隱含住一種顏色 
"My editor in chief said, ""You know, it's interesting but I think you can do better and I think you can make it simpler."" ",有紅色先生、藍色先生 白色先生同黑色先生 
"And so I went back to the drawing board, as I often do. ",多崎造嘅名冇對應嘅顏色 所以佢自己叫「無色」 當佢回憶佢哋嘅友情歲月時 佢覺得佢哋就好似一隻手嘅五隻手指 
"But also, being alive to my surroundings, I work in a high-rise in Midtown, and every night, before I leave the office, I have to push this button to get out, and the big heavy glass doors open and I can get onto the elevator. ",於是，我用隻手做咗一個抽象嘅表達 小說裏面仲有好多故仔 同樣，封面背後都仲有好多嘢 
"And one night, all of a sudden, I looked at this and I saw it in a way that I hadn't really noticed it before. ",依家四條手指變成 東京地鐵嘅四條路線 呢個細節喺故事裡邊好重要 
"Big red circle, danger. ",呢條冇色嘅地鐵路線 同其他四條相交 就好似多崎造喺本書度 逐個朋友搵返 
"And I thought this was so obvious that it had to have been done a zillion times, and so I did a Google image search, and I couldn't find another book cover that looked quite like this, and so this is really what solved the problem, and graphically it's more interesting and creates a bigger tension between the idea of a certain kind of sunrise coming up over L.A. and America. ",問佢哋點解噉對佢 
"[""'Gulp' A tour of the human digestive system by Mary Roach.""] Mary Roach is an amazing writer who takes potentially mundane scientific subjects and makes them not mundane at all; she makes them really fun. ",呢個就係棟喺我嘅辦公室嘅 立體嘅成品 我期望嘅封面效果係 佢有足夠嘅神秘感 吸引你去讀呢本書 同破解佢，明白設計嘅真正意圖 
"So in this particular case, it's about the human digestive system. ",「視覺白話」 係一種運用熟悉嘅神秘感手法 
So I'm trying to figure out what is the cover of this book going to be. ,咩意思？ 
This is a self-portrait. (Laughter) Every morning I look at myself in the medicine cabinet mirror to see if my tongue is black. ,即係整到佢似其他嘢 視覺白話 就係將我哋睇慣咗嘅一啲嘢 應用喺另一啲嘢 使我睇到唔同嘅嘢 
"And if it's not, I'm good to go. ",我將呢個方法用喺 David Sedaris 嘅散文集 書名係《你所需要嘅美麗》 難就難喺 個標題其實冇任何意思 
(Laughter) I recommend you all do this. ,又冇同書裡邊嘅任何一章有關係 
"But I also started thinking, here's our introduction. ",佢係作者嘅男朋友發夢諗出嚟嘅 
Right? Into the human digestive system. ,真係唔該曬（笑聲） 通常我以文字內容為基礎做設計 但係啲文字就係噉 
"But I think what we can all agree on is that actual photographs of human mouths, at least based on this, are off-putting. (Laughter) So for the cover, then, I had this illustration done which is literally more palatable and reminds us that it's best to approach the digestive system from this end. ",個書名又其實咩都冇講 我就諗 有咩係又有神秘感 但係又冇意思？ 
(Laughter) I don't even have to complete the sentence. All right. ,果然，冇幾耐 有晚我去吃中餐之後，呢個出現咗 我諗：「啊，度橋度到有高潮！」 （笑聲） 我好鍾意幸運曲奇裡邊 又搞笑又神秘嘅短句 睇起嚟好似好有深度 但再諗下，其實冇深度 
"[""Unuseful mystery""] What happens when clarity and mystery get mixed up? ",呢個講：「冇人知道 忽視未來會帶嚟幾多好處。」 
And we see this all the time. ,唔該曬（笑聲） 如果我哋將視覺白話用喺 Sedaris 先生度 我哋好清楚幸運曲奇嘅外貌 清楚到睇到個字條，就知道係幸運曲奇 
This is what I call unuseful mystery. ,我哋睇到呢個奇怪嘅書名 我哋知道我哋好鍾意 David Sedaris 所以會好期待呢本書 
I go down into the subway -- I take the subway a lot -- and this piece of paper is taped to a girder. ,David Rakoff 係一個好好嘅作家 佢將佢嘅第一本書命名為《騙局》 因為雜誌社畀咗佢一個 佢根本勝任唔到嘅工怍 
"Right? And now I'm thinking, uh-oh, and the train's about to come and I'm trying to figure out what this means, and thanks a lot. ",之後佢一個瘦蜢蜢嘅城市人 俾《智族》雜誌派去科羅拉多河度漂流 睇下死唔死得 
"Part of the problem here is that they've compartmentalized the information in a way they think is helpful, and frankly, I don't think it is at all. ",之後，佢仲要返嚟寫報導 佢覺得自己做咗老千 佢覺得佢喺度寫緊同自己不乎嘅嘢 
So this is mystery we do not need. ,所以，我都要整一個 引起假象嘅封面 而個封面會印埋讀者嘅表情 
"What we need is useful clarity, so just for fun, I redesigned this. ",噉就令我諗起塗鴉 
This is using all the same elements. ,我對塗鴉好痴迷 
"(Applause) Thank you. I am still waiting for a call from the MTA. (Laughter) You know, I'm actually not even using more colors than they use. ",我諗任何一個城市人 都會經常見到各式各樣嘅塗鴉 
"They just didn't even bother to make the 4 and the 5 green, those idiots. (Laughter) So the first thing we see is that there is a service change, and then, in two complete sentences with a beginning, a middle and an end, it tells us what the change is and what's going to be happening. ",呢張係我喺紐約下東城區影嘅相 一個行人道上嘅變電箱 俾塗鴉畫到花曬 
"Call me crazy! (Laughter) [""Useful mystery""] All right. ",你可能會話：「佢喺街上幾好得意啊」 或者：「呢個係非法使用財產」 但我哋都同意 根本讀唔出講乜 
"Now, here is a piece of mystery that I love: packaging. ",係咪？讀唔到任何明確訊息 
This redesign of the Diet Coke can by Turner Duckworth is to me truly a piece of art. ,另外一種塗鴉仲好玩 我稱佢為評論式塗鴉 
"But part of what makes it so heartening to me as a designer is that he's taken the visual vernacular of Diet Coke -- the typefaces, the colors, the silver background -- and he's reduced them to their most essential parts, so it's like going back to the Charlie Brown face. ",呢個係我最近喺地鐵拍嘅 有時你會睇到好多咸濕、白痴嘅嘢 但係我覺得呢個好有趣 有張海報 上面寫住：「嘩嘩 Airbnb」 有人用筆喺上邊加字 
"It's like, how can you give them just enough information so they know what it is but giving them the credit for the knowledge that they already have about this thing? ",呢個引起我嘅注意 
"It looks great, and you would go into a delicatessen and all of a sudden see that on the shelf, and it's wonderful. ",於是我諗，點樣將佢用喺個封面度? 
"Which makes the next thing -- [""Unuseful clarity""] -- all the more disheartening, at least to me. ",我讀咗作者本書 我諗，呢個人唔係佢自己講嘅自己 佢係個老千 
"So okay, again, going back down into the subway, after this came out, these are pictures that I took. ",於是，我攞支紅筆 發憫憎噉喺封面上亂畫 
Times Square subway station: Coca-Cola has bought out the entire thing for advertising. Okay? ,搞掂（笑聲） 上頭竟然批准咗！（笑聲） 作者鐘意，出版商鐘意 於是個封面就出咗世 見到有人喺地鐵讀呢本書 或者行嗰時攞住 我都覺得好搞笑 因為佢哋睇起嚟都好似癲癲哋咁 
And maybe some of you know where this is going. ,（笑聲） James Ellroy 係個好叻嘅犯罪小說作家 我同佢係好朋友，合作咗好多年 
Ahem. ,佢最出名嘅書係 《黑色大麗花》同《洛杉磯嘅秘密》 
"You moved to New York with the clothes on your back, the cash in your pocket, and your eyes on the prize. 
You're on Coke. (Laughter) ""You moved to New York with an MBA, one clean suit, and an extremely firm handshake. ",呢本係佢最新嘅作品，個名好神秘 肯定好多人知道佢嘅意思 但係好多人唔知 
"You're on Coke."" (Laughter) These are real! (Laughter) Not even the support beams were spared, except they switched into Yoda mode. (Laughter) ""Coke you're on."" (Laughter) [""Excuse me, I'm on WHAT??""] This campaign was a huge misstep. ",本書講一個日裔美籍偵探 喺 1941年 洛杉磯調查一單謀殺案 
"It was pulled almost instantly due to consumer backlash and all sorts of unflattering parodies on the web -- (Laughter) -- and also that dot next to ""You're on,"" that's not a period, that's a trademark. ",期間，珍珠港事件爆發 然後雪上加霜 種族關係變得好緊張 日裔美國人開始俾政府送去拘留營 形勢緊張，人心惶惶 但係佢繼續查案 
So thanks a lot. ,我一開始嗰陣，我齋從字面意思考慮 然後就將珍珠港嘅景搬到去洛杉磯 成個畫面就係末日嘅景像 
"So to me, this was just so bizarre about how they could get the packaging so mysteriously beautiful and perfect and the message so unbearably, clearly wrong. ",我嘅主編話： 「有意思， 不過我想你簡化啲。」 
It was just incredible to me. ,於是我同平時噉，返去用繪圖板畫 
"So I just hope that I've been able to share with you some of my insights on the uses of clarity and mystery in my work, and maybe how you might decide to be more clear in your life, or maybe to be a bit more mysterious and not so over-sharing. ",但我留意到自己嘅工作環境 我嘅辦公室喺紐約市中城嘅高樓大廈 每晚，我離開辦公室之前 要㩒呢個掣 又大又重嘅玻璃門先會打開 我先入到𨋢 
"(Laughter) And if there's just one thing that I leave you with from this talk, I hope it's this: Blih blih blih blah. Blah blah blih blih. [""'Judge This,' Chip Kidd""] Blih blih blah blah blah. Blah blah blah. ",有一晚 我突然用一個全新嘅視角去睇部𨋢 
Blah blah. ,大紅點，危險 
(Applause) ,我就諗，佢噉明顯 肯定俾人用過好多次 於是我去谷歌查 竟然揾唔到有類似封面嘅書 於是乎，搞掂！ 圖像本身變得更加有趣 用喺洛杉磯乃至美國上空嚟表現日出 又顯得更加有張力 
,Mary Roach 嘅書《Gulp》 Mary Roach 係一個好好嘅作家 佢將沉悶嘅科學話題 變得好有趣 
"In 2012, when I painted the minaret of Jara Mosque in my hometown of Gabés, in the south of Tunisia, I never thought that graffiti would bring so much attention to a city. ",呢本書有關人體消化系統 
"At the beginning, I was just looking for a wall in my hometown, and it happened that the minaret was built in '94. ",我喺度諗，個封面要點設計 
"And for 18 years, those 57 meters of concrete stayed grey. ",呢個係我嘅自拍相 （笑聲） 日日朝早，我都會對住我藥櫃塊鏡 睇下我條脷係唔係黑色 
"When I met the imam for the first time, and I told him what I wanted to do, he was like, ""Thank God you finally came,"" and he told me that for years he was waiting for somebody to do something on it. ",如果唔係 我就行得喇 
"The most amazing thing about this imam is that he didn't ask me anything -- neither a sketch, or what I was going to write. ",（笑聲） 我建議你哋都噉做 
"In every work that I create, I write messages with my style of calligraffiti -- a mix of calligraphy and graffiti. ",同時我亦開始諗 呢個係我哋嘅「入口」 
I use quotes or poetry. ,係咪？人體消化系統嘅入口 
"For the minaret, I thought that the most relevant message to be put on a mosque should come from the Quran, so I picked this verse: ""Oh humankind, we have created you from a male and a female, and made you people and tribe, so you may know each other."" ",我諗大家會同意 人體口腔嘅相 或者基於佢嘅作品 都係核突嘅（笑聲） 所以我同個封面畫咗個 更容易俾人接受嘅插圖 同時強調消化系統係從呢度開始 
"It was a universal call for peace, tolerance, and acceptance coming from the side that we don't usually portray in a good way in the media. ",（笑聲） 我都唔使講完句話你都明…… 
"I was amazed to see how the local community reacted to the painting, and how it made them proud to see the minaret getting so much attention from international press all around the world. ",「冇用嘅神秘感」 當明確性同神秘感撈埋一齊 會發生咩？ 
"For the imam, it was not just the painting; it was really deeper than that. ",我哋隨時見得到 
"He hoped that this minaret would become a monument for the city, and attract people to this forgotten place of Tunisia. ",冇用嘅神秘感嘅例子 
"The universality of the message, the political context of Tunisia at this time, and the fact that I was writing Quran in a graffiti way were not insignificant. ",我行入地鐵，我經常搭地鐵 睇到個柱上有呢張紙 
It reunited the community. ,我就諗，死喇 班地鐵到喇 我仲未睇明個告示講咩 真係唔該曬 
"Bringing people, future generations, together through Arabic calligraphy is what I do. ",其中一個問題係 佢哋以為噉劃分訊息對我哋好有幫助 但老實講句，我覺得冇咩用 
Writing messages is the essence of my artwork. ,呢個就係我哋唔需要嘅神秘感 
"What is funny, actually, is that even Arabic-speaking people really need to focus a lot to decipher what I'm writing. ",我哋需要有用嘅明確性 於是乎，我貪玩噉重新設計佢 
You don't need to know the meaning to feel the piece. ,用嘅元素一樣 
I think that Arabic script touches your soul before it reaches your eyes. ,（掌聲） 多謝 我仲等緊地鐵公司嘅電話 你睇下，我都冇用多一種顏色 
There is a beauty in it that you don't need to translate. ,佢哋甚至懶到冇將 4 同 5 變綠色 成班蠢人（笑聲） 宜家我哋睇到嘅第一條訊息係 車次有變動 然後有兩句完整嘅話， 有開始，有過程，有結尾 佢講清楚咩車次變咗，有咩後續安排 
"Arabic script speaks to anyone, I believe; to you, to you, to you, to anybody, and then when you get the meaning, you feel connected to it. ",話我癲都係噉話（笑聲） 有用嘅神秘，好 
"I always make sure to write messages that are relevant to the place where I'm painting, but messages that have a universal dimension, so anybody around the world can connect to it. ",呢個係我鍾意嘅神秘： 包裝 
"I was born and raised in France, in Paris, and I started learning how to write and read Arabic when I was 18. ",呢款 Turner Duckworth 再版設計嘅 健怡可樂罐 對於我嚟講 係一件真正嘅藝術品，真係好靚 
Today I only write messages in Arabic. ,作為一個設計師，我欣賞佢嘅地方係 Turner 將健怡可樂嘅視覺白話︰ 招牌嘅字體、顏色，同銀色嘅背景 濃縮到最精華 所以，就好似卡通人物 查理．布朗塊面咁 
"One of the reasons this is so important to me, is because of all the reaction that I've experienced all around the world. ",畀你嘅訊息啱啱好、冇多冇少 既會畀啲訊息你 又照顧到你已經知嘅部分 
"In Rio de Janeiro, I translated this Portuguese poem from Gabriela Tôrres Barbosa, who was giving an homage to the poor people of the favela, and then I painted it on the rooftop. ",真係好正 當你行入個熟食店 貨架上嘅佢就會投射入你眼中 
"The local community were really intrigued by what I was doing, but as soon as I gave them the meaning of the calligraphy, they thanked me, as they felt connected to the piece. ",真係好正 下一個，「冇用嘅清晰度」 起碼對我嚟講，更加令我心煩 
"In South Africa, in Cape Town, the local community of Philippi offered me the only concrete wall of the slum. ",咁，我哋再返返去地鐵站 健怡可樂嘅設計出嚟之後 佢哋做咗海報 
"It was a school, and I wrote on it a quote from Nelson Mandela, saying, ""[in Arabic],"" which means, ""It seems impossible until it's done."" ",喺時代廣場地鐵站 可口可樂買曬全部廣告位 
"Then this guy came to me and said, ""Man, why you don't write in English?"" ",可能有人知道跟住會發生咩 
"and I replied to him, ""I would consider your concern legit if you asked me why I didn't write in Zulu."" ",嗯 
"In Paris, once, there was this event, and someone gave his wall to be painted. ",「你嚟紐約時就得件外套、幾蚊雞， 意住個獎，同埋吸緊毒。」（笑聲） 
"And when he saw I was painting in Arabic, he got so mad -- actually, hysterical -- and he asked for the wall to be erased. ",「你嚟紐約時就得 一個商科學位、一套西裝， 同一隻握手有力嘅手。 
I was mad and disappointed. ,你吸緊毒。」（笑聲） 全部都係真嘅！（笑聲） 連條柱都唔放過 不過換成尤達大師嘅風格（笑聲） 「毒，你吸咗。」（笑聲） 「唔好意思，我咩？」 呢個廣告活動嚴重失誤 
"But a week later, the organizer of the event asked me to come back, and he told me that there was a wall right in front of this guy's house. ",俾消費者強烈抗拒 幾乎一上架就落架 仲俾好多人喺網上惡搞 （笑聲） 仲有，「You're on」隔離嘅點 唔係句號， 係註冊商標 
"So, this guy -- (Laughter) like, was forced to see it every day. ",真係唔該曬 
"At the beginning, I was going to write, ""[In Arabic],"" which means, ""In your face,"" but -- (Laughter) I decided to be smarter and I wrote, ""[In Arabic],"" which means, ""Open your heart."" ",對我嚟講，真係好奇怪 點解佢哋嘅包裝做得噉神秘 噉精彩、噉完美 然後做文字嗰時就錯到 一塌糊塗、噉痛苦 
"I'm really proud of my culture, and I'm trying to be an ambassador of it through my artwork. ",真係匪夷所思 
"And I hope that I can break the stereotypes we all know, with the beauty of Arabic script. ",所以，我希望你哋明白到 我嘅作品裡邊 明確性同神秘感嘅用法 然後或者你哋會決定 喺生活裡邊加多啲明確性 又或者加啲神秘感 但又唔好過量嘅資訊 
"Today, I don't write the translation of the message anymore on the wall. ",（笑聲） 如果我今次有一個主題 我希望係呢個： 嗶哩嗶哩嗶哩吧啦，吧啦吧啦嗶哩嗶哩 吧啦吧啦吧啦吧啦吧啦 吧啦吧啦吧啦 
"I don't want the poetry of the calligraphy to be broken, as it's art and you can appreciate it without knowing the meaning, as you can enjoy any music from other countries. ",吧啦 
"Some people see that as a rejection or a closed door, but for me, it's more an invitation -- to my language, to my culture, and to my art. ",（掌聲） 
Thank you. ,
(Applause) ,2012 年 我响我家鄉，突尼斯嘅加貝斯 幫哈拉清真寺髹油嗰陣 從來都冇諗過 塗鴉可以令咁多人關注一個城市 
,我最初純粹想喺鄉下搵一幅牆 無意間得知 呢座尖塔自 1994 年起好之後 
"For more than 100 years, the telephone companies have provided wiretapping assistance to governments. ",幅 57 米高嘅石屎牆 18 年嚟都冇粉飾過 
"For much of this time, this assistance was manual. ",我第一次同教長見面嗰時 我講佢知我嘅諗法 佢就話:「謝天謝地，你終於嚟喇！」 佢同我講 咁多年嚟，佢都希望有人粉飾幅牆 
Surveillance took place manually and wires were connected by hand. ,最正嘅係 呢個教長冇問過我任何嘢 無論係畫乜，定係我想寫乜 
Calls were recorded to tape. ,每次我創作塗鴉 我都會用一種屬於我嘅風格 揉合咗書法同塗鴉 
"But as in so many other industries, computing has changed everything. ",我會引用一啲語錄或者詩句 
The telephone companies built surveillance features into the very core of their networks. ,我諗既然係座寺廟 寫上可蘭經經文就最啱喇 所以我揀咗呢句 「眾人啊！ 我確已從一男一女創造你們， 我使你們成為許多民族和宗族， 以便你們互相認識。」 
I want that to sink in for a second: Our telephones and the networks that carry our calls were wired for surveillance first. ,呢句表達咗回教徒對世界大同嘅渴求 同傳媒所塑造嘅回教並唔一樣 
First and foremost. ,我好鼓舞，因為家鄉嘅人好鍾意幅塗鴉 而各地都有報導呢幅塗鴉 令到地方嘅人引以為傲 
"So what that means is that when you're talking to your spouse, your children, a colleague or your doctor on the telephone, someone could be listening. ",對教長嚟講，呢幅唔止係塗鴉 背後意義深遠得多 
"Now, that someone might be your own government; it could also be another government, a foreign intelligence service, or a hacker, or a criminal, or a stalker or any other party that breaks into the surveillance system, that hacks into the surveillance system of the telephone companies. ",教長希望尖塔可以 代表到呢個城市 吸引人到訪呢個 被遺忘嘅突尼斯小城 
"But while the telephone companies have built surveillance as a priority, Silicon Valley companies have not. ",塗鴉所盛載嘅信念 突尼斯而家嘅局勢 同埋我嘅可蘭經塗鴉 全部都意義重大 
"And increasingly, over the last couple years, Silicon Valley companies have built strong encryption technology into their communications products that makes surveillance extremely difficult. ",因為佢哋將人凝聚起嚟 
"For example, many of you might have an iPhone, and if you use an iPhone to send a text message to other people who have an iPhone, those text messages cannot easily be wiretapped. ",我好想帶領群眾同下一代 一齊領略阿拉伯文嘅書法 
"And in fact, according to Apple, they're not able to even see the text messages themselves. ",文字訊息係我創作嘅精髓 
"Likewise, if you use FaceTime to make an audio call or a video call with one of your friends or loved ones, that, too, cannot be easily wiretapped. ",有趣嘅係 連講阿拉伯話嘅人 都要花時間思考我寫嘅訊息 
And it's not just Apple. ,即使睇唔明，亦可以心領神會 
"WhatsApp, which is now owned by Facebook and used by hundreds of millions of people around the world, also has built strong encryption technology into its product, which means that people in the Global South can easily communicate without their governments, often authoritarian, wiretapping their text messages. ",我諗阿拉伯文字就係未見其字 
"So, after 100 years of being able to listen to any telephone call -- anytime, anywhere -- you might imagine that government officials are not very happy. ",就已經可以同我哋嘅靈魂接觸 當中嘅美麗，超越一切語言 
"And in fact, that's what's happening. ",阿拉伯嘅文字會向人說話 向你，向你，向你，向所有人 當你掌握到段文字嘅意思 你會馬上心領神會 
Government officials are extremely mad. ,我次次髹油都同自己講 寫嘅訊息要同個地方有關 但同時要關乎整個世界 以至全世界嘅人都有所共鳴 
And they're not mad because these encryption tools are now available. ,我喺巴黎出世同長大 我 18 歲嗰年開始學阿拉伯文 
What upsets them the most is that the tech companies have built encryption features into their products and turned them on by default. ,而家我只會用阿拉伯文創作 
It's the default piece that matters. ,呢種堅持之所以咁重要 係源於各地嘅人向我表達過嘅感受 
"In short, the tech companies have democratized encryption. ",喺里約熱內盧 我翻譯過一篇 詩人 Gabriela Tôrres Barbosa 嘅詩 詩歌頌揚貧民窟嘅人 然後我將呢首詩寫咗喺天棚 
"And so, government officials like British Prime Minister David Cameron, they believe that all communications -- emails, texts, voice calls -- all of these should be available to governments, and encryption is making that difficult. ",當地人初初唔明我做緊乜 但當我解釋咗首詩畀佢哋聽 佢哋好感動 因為覺得有所共鳴 
"Now, look -- I'm extremely sympathetic to their point of view. ",喺南非開普敦嘅菲歷彼貧民窟 裡面唯一嘅石屎牆， 就係學校嘅外牆 
"We live in a dangerous time in a dangerous world, and there really are bad people out there. ",我寫咗一句曼德拉嘅名言 就係「 [ 阿拉伯文 ] 」 意思係「人成功前，總認定會失敗」 
There are terrorists and other serious national security threats that I suspect we all want the FBI and the NSA to monitor. ,然係有個人走嚟問︰ 「做乜唔用英文寫啫？」 
But those surveillance features come at a cost. ,我就答佢：「我會聽你講嘅， 如果你係問我 點解唔用祖魯文寫嘅話。」 
"The reason for that is that there is no such thing as a terrorist laptop, or a drug dealer's cell phone. ",巴黎曾經有一個活動 有個人想人哋為佢髹牆 
We all use the same communications devices. ,當佢見我喺牆上 用阿拉伯文字塗鴉嘅時候 佢成個人癲咗，失控咁滯 並且要求鏟走幅塗鴉 
"What that means is that if the drug dealers' telephone calls or the terrorists' telephone calls can be intercepted, then so can the rest of ours, too. ",嗰刻我又嬲又失望 
And I think we really need to ask: Should a billion people around the world be using devices that are wiretap friendly? ,過咗一個禮拜，統籌單位叫我返去 話我知嗰個人間屋係對住一幅牆 
So the scenario of hacking of surveillance systems that I've described -- this is not imaginary. ,所以，呢個人… （笑聲） 就被逼日日對住幅塗鴉 
"In 2009, the surveillance systems that Google and Microsoft built into their networks -- the systems that they use to respond to lawful surveillance requests from the police -- those systems were compromised by the Chinese government, because the Chinese government wanted to figure out which of their own agents the US government was monitoring. ",起初，我喺幅牆度寫 [ 阿拉伯文 ] 即係解「就喺你面前」 （笑聲） 之後我靈機一觸 寫咗做「[ 阿拉伯文 ]」 解「打開心扉」 
"By the same token, in 2004, the surveillance system built into the network of Vodafone Greece -- Greece's largest telephone company -- was compromised by an unknown entity, and that feature, the surveillance feature, was used to wiretap the Greek Prime Minister and members of the Greek cabinet. ",我為我嘅文化而自豪 我希望用藝術去宣揚我嘅文化 
The foreign government or hackers who did that were never caught. ,我希望借助美麗嘅阿拉伯文字 去打破大家嘅成見 
"And really, this gets to the very problem with these surveillance features, or backdoors. ",今日，我唔再喺牆上翻譯我嘅文字 
"When you build a backdoor into a communications network or piece of technology, you have no way of controlling who's going to go through it. ",我唔想破壞書法同詩歌嘅美 詩係藝術，唔需要言明，亦感悟得到 正如我哋會聽唔同語言嘅音樂一樣 
"You have no way of controlling whether it'll be used by your side or the other side, by good guys, or by bad guys. ",有人認為咁樣係製造緊隔膜 但我反而覺得係一個邀請 邀請大家去體會我嘅母語、文化同創作 
"And so for that reason, I think that it's better to build networks to be as secure as possible. ",多謝！ 
"Yes, this means that in the future, encryption is going to make wiretapping more difficult. ",（掌聲） 
It means that the police are going to have a tougher time catching bad guys. ,
"But the alternative would mean to live in a world where anyone's calls or anyone's text messages could be surveilled by criminals, by stalkers and by foreign intelligence agencies. ",過百年嚟 電話公司一直協助政府監聽 
And I don't want to live in that kind of world. ,好多時協助監聽嘅工作係靠人手 
"And so right now, you probably have the tools to thwart many kinds of government surveillance already on your phones and already in your pockets, you just might not realize how strong and how secure those tools are, or how weak the other ways you've used to communicate really are. ",監聽係以人手方式進行 線路係由人手接駁 
"And so, my message to you is this: We need to use these tools. ",線路裏面嘅通話會被錄到去錄音帶裡邊 
We need to secure our telephone calls. ,就好似其他好多嘅行業一樣 電腦改變咗所有嘢 
I want you to use these tools. ,電話公司喺佢哋網路嘅核心地方 設置咗監聽功能 
"I want you to tell your loved ones, I want you to tell your colleagues: Use these encrypted communications tools. ",對於呢樣嘢我想停一停 原來喺我哋通話用嘅電話同網絡 首要考慮嘅嘢係監聽 
"Don't just use them because they're cheap and easy, but use them because they're secure. ",係優先而且最重要 
Thank you. ,意思即係話當你同配偶 小朋友、同事、醫生喺度講電話時 有人可以聽到你哋嘅對話 
(Applause) ,嗰個人可能係你嘅政府 亦可以係外國政府、一間外國情報機構 駭客、犯案嘅人 跟蹤者或者監視者 抑或任何攻得入監聽系統嘅人 佢哋都可以入侵電話公司嘅監聽系統 
,但當電話公司以監聽為首要嘅時候 矽谷嘅科技公司就冇噉樣做 
"I was raised by lesbians in the mountains, and I sort of came like a forest gnome to New York City a while back. ",而且喺過去幾年 矽谷嘅科技公司愈嚟愈 喺佢哋嘅通訊產品裏面 發展強大嘅加密技術 令到監聽非常之困難 
"(Laughter) Really messed with my head, but I'll get into that later. ",譬如話你哋好多人都用 iPhone 如果你用 iPhone 傳送短訊 俾其他用 iPhone 嘅人 嗰啲短訊無法輕易噉俾人截取到 
